DATE,DDDM01USA156NWDB
1975-01-01,41.77093
1976-01-01,47.13859
1977-01-01,40.07242
1978-01-01,36.65425
1979-01-01,37.81746
1980-01-01,47.59019
1981-01-01,39.399570000000004
1982-01-01,43.56929
1983-01-01,49.78028
1984-01-01,39.680859999999996
1985-01-01,53.02763
1986-01-01,55.41805
1987-01-01,52.14532
1988-01-01,53.088390000000004
1989-01-01,59.95189
1990-01-01,51.876129999999996
1991-01-01,67.54641
1992-01-01,69.71804
1993-01-01,76.56243
1994-01-01,70.50327
1995-01-01,90.99809
1996-01-01,105.0461
1997-01-01,125.5619
1998-01-01,142.589
1999-01-01,153.441
2000-01-01,147.359
2001-01-01,132.148
2002-01-01,101.0791
2003-01-01,124.5066
2004-01-01,133.6506
2005-01-01,130.4083
2006-01-01,141.6542
2007-01-01,137.8527
2008-01-01,78.7766
2009-01-01,104.3488
2010-01-01,115.2841
2011-01-01,100.6313
2012-01-01,115.2579
2013-01-01,143.1937
2014-01-01,150.2273
2015-01-01,137.4445
2016-01-01,145.9167
2017-01-01,164.3593
2018-01-01,147.6641
2019-01-01,158.1229
