U.S. No 2 Diesel Retail Prices,
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=EMD_EPD2D_PTE_NUS_DPG&f=M,
14:40:29 GMT-0700 (Pacific Daylight Time),
Source: U.S. Energy Information Administration,
Month,U.S. No 2 Diesel Retail Prices Dollars per Gallon
Apr-22,5.12
Mar-22,5.105
Feb-22,4.032
Jan-22,3.724
Dec-21,3.641
Nov-21,3.727
Oct-21,3.612
Sep-21,3.384
Aug-21,3.35
Jul-21,3.339
Jun-21,3.287
May-21,3.217
Apr-21,3.13
Mar-21,3.152
Feb-21,2.847
Jan-21,2.681
Dec-20,2.585
Nov-20,2.432
Oct-20,2.389
Sep-20,2.414
Aug-20,2.429
Jul-20,2.434
Jun-20,2.408
May-20,2.392
Apr-20,2.493
Mar-20,2.729
Feb-20,2.91
Jan-20,3.048
Dec-19,3.055
Nov-19,3.069
Oct-19,3.053
Sep-19,3.016
Aug-19,3.005
Jul-19,3.045
Jun-19,3.089
May-19,3.161
Apr-19,3.121
Mar-19,3.076
Feb-19,2.997
Jan-19,2.98
Dec-18,3.123
Nov-18,3.3
Oct-18,3.365
Sep-18,3.262
Aug-18,3.218
Jul-18,3.233
Jun-18,3.253
May-18,3.244
Apr-18,3.096
Mar-18,2.988
Feb-18,3.046
Jan-18,3.018
Dec-17,2.909
Nov-17,2.909
Oct-17,2.794
Sep-17,2.785
Aug-17,2.595
Jul-17,2.496
Jun-17,2.511
May-17,2.56
Apr-17,2.583
Mar-17,2.554
Feb-17,2.568
Jan-17,2.58
Dec-16,2.51
Nov-16,2.439
Oct-16,2.454
Sep-16,2.394
Aug-16,2.351
Jul-16,2.405
Jun-16,2.423
May-16,2.315
Apr-16,2.152
Mar-16,2.09
Feb-16,1.998
Jan-16,2.143
Dec-15,2.31
Nov-15,2.467
Oct-15,2.519
Sep-15,2.505
Aug-15,2.595
Jul-15,2.788
Jun-15,2.873
May-15,2.888
Apr-15,2.782
Mar-15,2.897
Feb-15,2.858
Jan-15,2.997
Dec-14,3.411
Nov-14,3.647
Oct-14,3.681
Sep-14,3.792
Aug-14,3.838
Jul-14,3.884
Jun-14,3.906
May-14,3.943
Apr-14,3.964
Mar-14,4.001
Feb-14,3.984
Jan-14,3.893
Dec-13,3.882
Nov-13,3.839
Oct-13,3.885
Sep-13,3.961
Aug-13,3.905
Jul-13,3.866
Jun-13,3.849
May-13,3.87
Apr-13,3.93
Mar-13,4.068
Feb-13,4.111
Jan-13,3.909
Dec-12,3.961
Nov-12,4
Oct-12,4.094
Sep-12,4.12
Aug-12,3.983
Jul-12,3.721
Jun-12,3.759
May-12,3.979
Apr-12,4.115
Mar-12,4.127
Feb-12,3.953
Jan-12,3.833
Dec-11,3.861
Nov-11,3.962
Oct-11,3.798
Sep-11,3.837
Aug-11,3.86
Jul-11,3.905
Jun-11,3.933
May-11,4.047
Apr-11,4.064
Mar-11,3.905
Feb-11,3.584
Jan-11,3.388
Dec-10,3.243
Nov-10,3.14
Oct-10,3.052
Sep-10,2.946
Aug-10,2.959
Jul-10,2.911
Jun-10,2.948
May-10,3.069
Apr-10,3.059
Mar-10,2.915
Feb-10,2.785
Jan-10,2.845
Dec-09,2.745
Nov-09,2.792
Oct-09,2.672
Sep-09,2.626
Aug-09,2.634
Jul-09,2.54
Jun-09,2.529
May-09,2.227
Apr-09,2.22
Mar-09,2.092
Feb-09,2.195
Jan-09,2.292
Dec-08,2.449
Nov-08,2.876
Oct-08,3.576
Sep-08,4.024
Aug-08,4.302
Jul-08,4.703
Jun-08,4.677
May-08,4.425
Apr-08,4.084
Mar-08,3.881
Feb-08,3.377
Jan-08,3.308
Dec-07,3.341
Nov-07,3.396
Oct-07,3.075
Sep-07,2.953
Aug-07,2.869
Jul-07,2.868
Jun-07,2.808
May-07,2.796
Apr-07,2.834
Mar-07,2.667
Feb-07,2.488
Jan-07,2.485
Dec-06,2.61
Nov-06,2.545
Oct-06,2.519
Sep-06,2.783
Aug-06,3.045
Jul-06,2.934
Jun-06,2.898
May-06,2.897
Apr-06,2.728
Mar-06,2.559
Feb-06,2.475
Jan-06,2.467
Dec-05,2.443
Nov-05,2.573
Oct-05,3.095
Sep-05,2.819
Aug-05,2.5
Jul-05,2.373
Jun-05,2.29
May-05,2.199
Apr-05,2.292
Mar-05,2.214
Feb-05,2.027
Jan-05,1.959
Dec-04,2.009
Nov-04,2.147
Oct-04,2.134
Sep-04,1.917
Aug-04,1.833
Jul-04,1.739
Jun-04,1.711
May-04,1.746
Apr-04,1.692
Mar-04,1.629
Feb-04,1.582
Jan-04,1.551
Dec-03,1.49
Nov-03,1.482
Oct-03,1.481
Sep-03,1.467
Aug-03,1.487
Jul-03,1.435
Jun-03,1.424
May-03,1.451
Apr-03,1.533
Mar-03,1.708
Feb-03,1.654
Jan-03,1.488
Dec-02,1.429
Nov-02,1.42
Oct-02,1.462
Sep-02,1.411
Aug-02,1.328
Jul-02,1.299
Jun-02,1.286
May-02,1.305
Apr-02,1.309
Mar-02,1.23
Feb-02,1.152
Jan-02,1.153
Dec-01,1.167
Nov-01,1.259
Oct-01,1.348
Sep-01,1.495
Aug-01,1.39
Jul-01,1.375
Jun-01,1.482
May-01,1.496
Apr-01,1.422
Mar-01,1.399
Feb-01,1.492
Jan-01,1.524
Dec-00,1.565
Nov-00,1.621
Oct-00,1.637
Sep-00,1.637
Aug-00,1.466
Jul-00,1.434
Jun-00,1.421
May-00,1.42
Apr-00,1.422
Mar-00,1.479
Feb-00,1.461
Jan-00,1.356
Dec-99,1.292
Nov-99,1.263
Oct-99,1.228
Sep-99,1.215
Aug-99,1.172
Jul-99,1.122
Jun-99,1.074
May-99,1.073
Apr-99,1.079
Mar-99,0.997
Feb-99,0.959
Jan-99,0.967
Dec-98,0.973
Nov-98,1.022
Oct-98,1.039
Sep-98,1.024
Aug-98,1.007
Jul-98,1.029
Jun-98,1.041
May-98,1.069
Apr-98,1.067
Mar-98,1.063
Feb-98,1.084
Jan-98,1.12
Dec-97,1.166
Nov-97,1.192
Oct-97,1.183
Sep-97,1.16
Aug-97,1.165
Jul-97,1.151
Jun-97,1.173
May-97,1.196
Apr-97,1.212
Mar-97,1.229
Feb-97,1.28
Jan-97,1.291
Dec-96,1.309
Nov-96,1.323
Oct-96,1.323
Sep-96,1.265
Aug-96,1.201
Jul-96,1.176
Jun-96,1.201
May-96,1.273
Apr-96,1.275
Mar-96,1.183
Feb-96,1.145
Jan-96,1.145
Dec-95,1.13
Nov-95,1.12
Oct-95,1.115
Sep-95,1.119
Aug-95,1.105
Jul-95,1.1
Jun-95,1.12
May-95,1.126
Apr-95,1.104
Mar-95,1.088
Feb-95,1.088
Jan-95,1.098
Dec-94,1.113
Nov-94,1.131
Oct-94,1.122
Sep-94,1.125
Aug-94,1.123
Jul-94,1.11
Jun-94,1.103
May-94,1.1
Apr-94,1.107
