Year,inflation(%),stock_to_GDP(%),working_population,Interest_Rate(%)
2001,2.82617111885402,132.148,181476647,3.41
2002,1.58603162650603,101.0791,183792729,1.1733333333333333
2003,2.27009497336113,124.5066,186939817,2.1041666666666665
2004,2.67723669309173,133.6506,188763071,2.3958333333333335
2005,3.39274684549547,130.4083,191024953,4.25
2006,3.22594410070407,141.6542,193219398,6.020833333333333
2007,2.85267248150136,137.8527,195663562,5.791666666666667
2008,3.83910029665101,78.7766,196691536,2.1666666666666665
2009,-0.35554626629975,104.3488,197897475,0.5
2010,1.64004344238989,115.2841,199183839,0.7291666666666666
2011,3.15684156862206,100.6313,199962562,0.75
2012,2.06933726526059,115.2579,201475828,0.75
2013,1.46483265562714,143.1937,202327635,0.75
2014,1.62222297740821,150.2273,203020518,0.75
2015,0.118627135552435,137.4445,204334050,0.7708333333333334
2016,1.26158320570537,145.9167,205553963,1.0208333333333333
2017,2.13011000365963,164.3593,205570247,1.625
2018,2.44258329692818,147.6641,206538862,2.4583333333333335
2019,1.81221007526015,158.1229,206309620,2.75
2020,1.23358439630637,194.49,205954426,0.5833333333333334
