Year,avg_production(Mmcf),avg_consumption(Mmcf),avg_vol(Mmcf),avg_total_import(Mmcf),avg_toal_export(Mmcf),avg_import_price($/Mmcf),avg_export_price($/Mmcf),avg_all_grades_p($/Gallon),avg_reg_p($/Gallon),avg_midg_p($/Gallon),avg_pre_p($/Gallon),avg_dis_p($/Gallon)
2001,1714191.1666666667,1853218.5833333333,6335558.333333333,331411.5,31106.583333333332,4.3575,4.383333333333334,1.4661666666666668,1.4260000000000002,1.5188333333333333,1.6079166666666669,1.4040833333333333
2002,1657065.0,1918918.4166666667,6715545.416666667,334622.0,43019.333333333336,3.138333333333333,3.339166666666667,1.3818333333333335,1.3403333333333334,1.43525,1.5258333333333332,1.3153333333333332
2003,1664530.0,1856375.0,6256804.666666667,328645.75,56660.25,5.180833333333333,5.5825000000000005,1.6010833333333334,1.5591666666666668,1.6563333333333334,1.7459999999999998,1.5083333333333335
2004,1626457.5833333333,1866878.75,6460053.75,354879.9166666667,71178.08333333333,5.779166666666666,6.069166666666667,1.89125,1.84875,1.9469166666666666,2.0384166666666665,1.8075
2005,1577257.9166666667,1834536.3333333333,6492883.916666667,361752.8333333333,60716.666666666664,8.084999999999999,8.010833333333332,2.3121666666666667,2.2681666666666667,2.3675833333333336,2.4659166666666668,2.3986666666666667
2006,1617472.9166666667,1808256.0,6860306.666666667,348856.8333333333,60329.75,6.866666666666667,6.831666666666667,2.615083333333333,2.5691666666666664,2.673,2.775916666666667,2.705
2007,1683028.8333333333,1925316.1666666667,6837505.0,383965.1666666667,68537.83333333333,6.8725,6.905833333333334,2.8455,2.798583333333333,2.905666666666667,3.0094999999999996,2.8816666666666664
2008,1759337.8333333333,1939750.8333333333,6592182.166666667,332008.4166666667,80271.75,8.774166666666666,8.774166666666668,3.3050833333333336,3.2518333333333334,3.372916666666667,3.4917499999999997,3.806833333333333
2009,1803994.5833333333,1909173.1666666667,7052343.0,312613.3333333333,89363.08333333333,4.136666666666667,4.354166666666667,2.3966666666666665,2.3435,2.4644999999999997,2.5812500000000003,2.4636666666666667
2010,1865156.0,2007233.0,7052461.166666667,311730.0,94732.41666666667,4.464166666666666,5.03,2.8335833333333333,2.780333333333333,2.900916666666667,3.0200833333333335,2.989333333333333
2011,2003029.3333333333,2039785.4166666667,7004208.833333333,289057.75,125470.83333333333,4.221666666666667,4.640833333333333,3.576416666666667,3.5209166666666665,3.6441666666666666,3.7710000000000004,3.845333333333333
2012,2106939.9166666665,2128207.0833333335,7501632.666666667,261482.41666666666,134902.33333333334,2.8808333333333334,3.223333333333333,3.686166666666667,3.625,3.762,3.9002499999999998,3.970416666666667
2013,2130186.0,2179589.25,7149330.833333333,240279.66666666666,131034.41666666667,3.815,4.081666666666666,3.576416666666667,3.5059166666666663,3.6631666666666667,3.8229166666666665,3.922916666666667
2014,2291479.5,2216114.5833333335,6620863.083333333,224614.91666666666,126186.83333333333,5.3808333333333325,5.41,3.442,3.363166666666667,3.544833333333333,3.71575,3.828666666666667
2015,2397670.3333333335,2270321.4166666665,7171337.083333333,226507.75,148626.08333333334,3.1533333333333338,3.08,2.513,2.4221666666666666,2.6381666666666668,2.8233333333333337,2.706583333333333
2016,2366670.6666666665,2287018.3333333335,7577975.75,250536.5,194620.66666666666,2.3375,2.7458333333333336,2.2525,2.1458333333333335,2.397,2.6181666666666668,2.3061666666666665
2017,2436485.5833333335,2261873.4166666665,7304990.416666667,252768.91666666666,262817.0,2.69,3.535833333333333,2.5303333333333335,2.417,2.6840833333333336,2.9189166666666666,2.6536666666666666
2018,2750738.9166666665,2511577.5,6654810.25,240737.0,300653.5,2.8125,3.8558333333333334,2.8173333333333335,2.7230000000000003,3.0595,3.29825,3.1788333333333334
2019,3037243.25,2594336.75,6901474.083333333,228476.33333333334,388138.0833333333,2.5883333333333334,3.6308333333333334,2.68575,2.59825,2.9942499999999996,3.2463333333333337,3.0555833333333333
2020,3016870.4166666665,2539351.1666666665,7456273.166666667,212611.66666666666,440300.6666666667,2.0866666666666664,3.624166666666667,2.25975,2.168833333333333,2.58425,2.8353333333333333,2.55525
2021,3084287.9166666665,2523619.25,7134772.0,233996.83333333334,554384.0,3.7358333333333333,6.512499999999999,3.09375,3.0011666666666668,3.4255833333333334,3.68,3.280583333333333
2022,3018587.0,3315793.0,6325245.5,277784.0,577832.5,6.245,7.630000000000001,3.512,3.416,3.8525,4.122999999999999,3.878
