Year,all_conusmers(Mmcf),commercial_consumers(Mmcf),electric_consumers(Mmcf),industrial_consumers(Mmcf),residential_consumers(Mmcf),vehicle_consumers(Mmcf)
2021,27437503,3263722,11270552,8196569,4653503,53157
2020,27660375,3170221,11615988,8150724,4674311,49130
2019,28291006,3514566,11288096,8416660,5018519,53166
2018,27568157,3513954,10588937,8417300,4997554,50413
2017,24834715,3164615,9265555,7943018,4413324,48204
2016,25212159,3109584,9985270,7728688,4346588,42028
2015,24989285,3201734,9613370,7521903,4612888,39390
2014,24381082,3466308,8145982,7646039,5087471,35282
2013,23838925,3295301,8190756,7425452,4897372,30045
2012,23411423,2894926,9110793,7226215,4149519,29970
2011,22467053,3155319,7573863,6994120,4713777,29974
2010,22127046,3102593,7387184,6826192,4782412,28664
2009,20964665,3118592,6872533,6167371,4778907,27262
2008,21409349,3152529,6668379,6670182,4892277,25982
2007,21256042,3012904,6841408,6654716,4722358,24655
2006,19972881,2832030,6222100,6526546,4368466,23739
2005,20318892,2998920,5869145,6601168,4826775,22884
2004,20738454,3128972,5463763,7256408,4868797,20514
2003,20562727,3179493,5135215,7150396,5079351,18271
2002,21247016,3144170,5671897,7527184,4888818,14950
2001,20495108,3022712,5342301,7344219,4771340,14536
