,Year,Month,Import_price($/Mcf),Export_price($/Mcf),Total Imports (Mmcf),Total Exports (Mmcf)
0,2022,2,5.62,8.22,259389,545563
1,2022,1,6.87,7.04,296179,610102
2,2021,12,4.74,7.4,252626,620886
3,2021,11,5.18,8.1,242405,556982
4,2021,10,4.79,7.97,228203,545055
5,2021,9,4.07,6.7,220206,535583
6,2021,8,3.52,6.06,220959,563572
7,2021,7,3.41,5.64,227779,566046
8,2021,6,2.83,4.92,207859,539165
9,2021,5,2.7,4.89,204890,578056
10,2021,4,2.44,4.46,208369,564333
11,2021,3,2.66,4.71,238724,595411
12,2021,2,5.63,12.68,271877,424004
13,2021,1,2.86,4.62,284065,563515
14,2020,12,2.89,4.84,266618,553176
15,2020,11,2.79,4.77,211736,528210
16,2020,10,2.17,3.85,199306,481621
17,2020,9,2.02,3.49,174225,395424
18,2020,8,1.9,3.28,211352,359159
19,2020,7,1.73,2.9,210419,349167
20,2020,6,1.57,2.99,187478,338486
21,2020,5,1.68,3.61,186518,395472
22,2020,4,1.51,3.21,190049,420767
23,2020,3,1.71,3.3,213231,497437
24,2020,2,2.16,3.51,238328,454245
25,2020,1,2.91,3.74,262080,510444
26,2019,12,3.23,3.89,256053,481757
27,2019,11,2.8,4.03,223765,441944
28,2019,10,2.15,3.55,210537,425775
29,2019,9,1.65,3.56,208286,394511
30,2019,8,1.73,3.23,220076,384983
31,2019,7,1.86,3.47,230407,393400
32,2019,6,1.54,3.18,201163,360226
33,2019,5,1.81,3.51,207651,368568
34,2019,4,2.14,3.32,206559,338213
35,2019,3,3.79,3.68,252989,373539
36,2019,2,4.06,3.76,233344,329954
37,2019,1,4.3,4.39,290886,364787
38,2018,12,4.89,5.22,257148,363806
39,2018,11,4.1,4.46,212486,337789
40,2018,10,2.61,3.76,215128,306653
41,2018,9,2.09,3.47,214074,301742
42,2018,8,2.22,3.78,237025,311449
43,2018,7,2.16,3.72,247012,305997
44,2018,6,1.87,3.43,228469,261995
45,2018,5,1.73,3.7,227168,272116
46,2018,4,2.2,3.46,242264,278941
47,2018,3,2.45,3.37,270762,291468
48,2018,2,3.02,3.93,237417,275652
49,2018,1,4.41,3.97,299891,300234
50,2017,12,3.27,3.68,274478,300138
51,2017,11,2.53,3.54,240314,287727
52,2017,10,2.06,3.37,241338,279775
53,2017,9,2.12,3.3,229444,248916
54,2017,8,2.38,3.27,247888,247302
55,2017,7,2.4,3.37,250508,248801
56,2017,6,2.62,3.41,239805,253322
57,2017,5,2.7,3.57,244353,248867
58,2017,4,2.64,3.65,238279,242424
59,2017,3,2.68,3.21,280567,273345
60,2017,2,3.14,3.8,254597,253227
61,2017,1,3.74,4.26,291656,269960
62,2016,12,3.5,3.82,280791,250836
63,2016,11,2.7,3.0,231044,227919
64,2016,10,2.59,3.06,231449,176466
65,2016,9,2.47,3.16,238491,201986
66,2016,8,2.42,3.13,261983,214226
67,2016,7,2.35,3.02,265022,188682
68,2016,6,1.9,2.6,241885,183013
69,2016,5,1.55,2.15,248317,188274
70,2016,4,1.61,2.15,241317,177853
71,2016,3,1.73,2.04,240764,194915
72,2016,2,2.43,2.28,251775,162757
73,2016,1,2.8,2.54,273600,168521
74,2015,12,2.28,2.57,227257,161754
75,2015,11,2.4,2.63,218242,155739
76,2015,10,3.23,2.73,226286,158517
77,2015,9,2.75,2.92,208818,162573
78,2015,8,2.74,3.09,213875,144885
79,2015,7,2.66,3.06,216973,143820
80,2015,6,2.56,3.01,206273,138179
81,2015,5,2.52,2.95,204348,134274
82,2015,4,2.59,2.83,205120,130328
83,2015,3,3.9,3.41,257274,163967
84,2015,2,5.46,3.98,254230,144955
85,2015,1,4.75,3.78,279397,144522
86,2014,12,4.44,4.25,253736,136982
87,2014,11,3.97,4.44,227485,120861
88,2014,10,3.87,4.37,220858,115069
89,2014,9,4.24,4.41,201622,119891
90,2014,8,3.87,4.38,206554,115376
91,2014,7,4.77,4.74,201176,127301
92,2014,6,5.32,4.81,201655,119864
93,2014,5,4.6,5.01,206657,114105
94,2014,4,5.11,4.93,200669,121928
95,2014,3,8.12,8.2,234189,149508
96,2014,2,9.11,9.56,245422,138550
97,2014,1,7.15,5.82,295356,134807
98,2013,12,4.75,4.56,273181,117329
99,2013,11,3.77,4.15,218693,113682
100,2013,10,3.4,3.88,220430,122406
101,2013,9,3.49,3.88,243881,122421
102,2013,8,3.17,3.75,236248,130324
103,2013,7,3.41,3.94,236199,128612
104,2013,6,3.9,4.22,236690,133808
105,2013,5,3.94,4.38,234183,142071
106,2013,4,3.98,4.43,220608,125771
107,2013,3,3.84,4.05,248290,148544
108,2013,2,3.99,3.84,236875,133003
109,2013,1,4.14,3.9,278078,154442
110,2012,12,3.93,4.15,252066,158538
111,2012,11,4.03,3.96,233853,142299
112,2012,10,3.16,3.71,253402,139930
113,2012,9,2.67,3.0,257990,137374
114,2012,8,2.83,3.35,281350,139248
115,2012,7,2.78,3.05,281166,118367
116,2012,6,2.35,2.93,259732,125140
117,2012,5,2.29,2.79,259023,132979
118,2012,4,2.04,2.28,243018,123150
119,2012,3,2.36,2.74,265152,141164
120,2012,2,2.86,3.06,269906,130175
121,2012,1,3.27,3.66,281131,130464
122,2011,12,3.66,4.08,297733,134374
123,2011,11,3.58,4.24,248908,127599
124,2011,10,4.06,4.14,282159,109513
125,2011,9,3.92,4.87,251846,126744
126,2011,8,4.4,4.63,280284,111404
127,2011,7,4.39,4.82,293477,113280
128,2011,6,4.6,4.83,266617,119470
129,2011,5,4.31,4.88,271252,131797
130,2011,4,4.35,4.78,277936,126374
131,2011,3,4.24,4.52,315408,144360
132,2011,2,4.49,4.79,311154,125014
133,2011,1,4.66,5.11,371919,135721
134,2010,12,4.56,5.01,351773,135121
135,2010,11,3.96,4.42,273165,123537
136,2010,10,3.83,4.41,294744,95974
137,2010,9,3.76,4.64,281518,79475
138,2010,8,4.13,4.89,304901,84164
139,2010,7,4.4,5.25,328655,85851
140,2010,6,4.23,4.98,282260,90040
141,2010,5,4.13,4.68,297801,85725
142,2010,4,4.13,4.76,298464,75938
143,2010,3,4.87,5.1,318769,99574
144,2010,2,5.62,5.87,324124,87820
145,2010,1,5.95,6.35,384586,93570
146,2009,12,5.23,5.63,349682,115328
147,2009,11,4.4,4.53,294918,96892
148,2009,10,3.92,4.29,273124,78092
149,2009,9,2.91,3.43,307026,83786
150,2009,8,3.29,3.58,336848,78755
151,2009,7,3.5,3.97,316715,76273
152,2009,6,3.51,3.9,281970,66259
153,2009,5,3.48,3.85,265793,77072
154,2009,4,3.67,3.88,321848,80016
155,2009,3,4.34,4.29,325165,103699
156,2009,2,5.21,4.92,321522,103196
157,2009,1,6.18,5.98,356749,112989
158,2008,12,6.74,6.59,364862,106101
159,2008,11,6.54,6.28,320254,90432
160,2008,10,6.87,6.54,321328,66843
161,2008,9,7.54,7.45,313868,55330
162,2008,8,8.67,8.69,328663,67157
163,2008,7,11.78,11.9,322810,63345
164,2008,6,11.71,11.58,286919,61702
165,2008,5,10.8,10.93,297154,68981
166,2008,4,9.61,9.94,322122,74343
167,2008,3,9.03,9.33,366810,100351
168,2008,2,8.34,8.36,349660,99374
169,2008,1,7.66,7.7,389651,109302
170,2007,12,7.51,7.36,396945,101495
171,2007,11,7.21,7.05,340607,86458
172,2007,10,6.35,6.61,347224,63576
173,2007,9,5.49,5.83,361383,65077
174,2007,8,6.0,6.1,426534,61870
175,2007,7,6.56,6.47,418576,70660
176,2007,6,7.32,7.31,381470,57309
177,2007,5,7.45,7.47,380213,62477
178,2007,4,7.24,7.41,386837,50736
179,2007,3,7.45,7.33,401779,77036
180,2007,2,7.39,7.35,372874,56539
181,2007,1,6.5,6.58,393140,69221
182,2006,12,7.6,7.57,383205,71923
183,2006,11,7.24,7.21,339118,69688
184,2006,10,4.88,5.06,334016,58904
185,2006,9,5.83,5.9,333514,52583
186,2006,8,6.74,6.98,364972,54739
187,2006,7,5.95,6.02,370925,58874
188,2006,6,5.83,6.0,348095,65708
189,2006,5,6.53,6.5,350535,62557
190,2006,4,6.73,6.72,332248,45181
191,2006,3,7.0,6.79,348293,69434
192,2006,2,7.96,7.71,321045,58766
193,2006,1,10.11,9.52,360316,55600
194,2005,12,10.91,10.59,408522,45272
195,2005,11,11.31,10.34,359387,44964
196,2005,10,11.99,11.06,366305,41025
197,2005,9,9.96,9.71,345907,43824
198,2005,8,7.5,7.93,351805,51987
199,2005,7,6.82,7.09,386093,55048
200,2005,6,6.35,6.6,321710,54807
201,2005,5,6.58,6.75,333997,58944
202,2005,4,6.92,7.06,326147,55538
203,2005,3,6.24,6.59,379650,96220
204,2005,2,6.14,6.21,356495,89576
205,2005,1,6.3,6.2,405016,91395
206,2004,12,6.96,7.22,413128,82649
207,2004,11,6.98,7.17,368685,86431
208,2004,10,5.38,5.77,335533,61174
209,2004,9,4.96,5.47,344621,74439
210,2004,8,5.62,5.86,360244,67491
211,2004,7,5.75,6.09,374651,67031
212,2004,6,6.06,6.48,341934,64227
213,2004,5,5.63,6.12,326541,60968
214,2004,4,5.21,5.57,325105,61916
215,2004,3,5.15,5.35,348992,90982
216,2004,2,5.67,5.71,345930,69805
217,2004,1,5.98,6.02,373195,67024
218,2003,12,5.08,5.32,364161,76769
219,2003,11,4.51,4.67,316721,71867
220,2003,10,4.48,4.63,331005,62314
221,2003,9,4.67,4.95,320676,53337
222,2003,8,4.54,4.9,331628,50962
223,2003,7,5.11,5.31,340532,48707
224,2003,6,5.53,5.94,306878,51924
225,2003,5,5.04,5.51,325157,48519
226,2003,4,5.0,5.22,314655,48831
227,2003,3,7.61,8.47,324364,51851
228,2003,2,5.71,6.46,308804,56393
229,2003,1,4.89,5.61,359168,58449
230,2002,12,4.2,4.3,370729,54821
231,2002,11,4.04,4.21,330544,54589
232,2002,10,3.56,3.72,343427,42109
233,2002,9,3.06,3.37,335594,46563
234,2002,8,2.7,2.99,356013,46511
235,2002,7,2.84,3.31,344641,45032
236,2002,6,3.08,3.27,318002,44939
237,2002,5,3.25,3.32,319404,39459
238,2002,4,3.27,3.51,315116,39194
239,2002,3,2.61,2.75,332596,38141
240,2002,2,2.32,2.42,305917,30383
241,2002,1,2.73,2.9,343481,34491
242,2001,12,2.68,2.76,309673,41564
243,2001,11,2.95,3.21,291044,41840
244,2001,10,2.14,2.74,326114,34452
245,2001,9,2.63,2.79,314864,33517
246,2001,8,3.14,3.48,353338,28965
247,2001,7,3.17,3.62,364571,31219
248,2001,6,3.94,4.64,317414,24554
249,2001,5,4.95,5.5,321878,28981
250,2001,4,5.35,5.65,318573,23637
251,2001,3,5.42,4.93,358103,32121
252,2001,2,6.45,5.8,328289,26882
253,2001,1,9.47,7.48,373077,25547
