Year,Month,Price per Gallon
2022,2,4.568
2022,1,4.495
2021,12,4.508
2021,11,4.51
2021,10,4.31
2021,9,4.222
2021,8,4.232
2021,7,4.165
2021,6,4.094
2021,5,3.982
2021,4,3.822
2021,3,3.692
2021,2,3.347
2021,1,3.176
2020,12,3.057
2020,11,3.029
2020,10,3.052
2020,9,3.091
2020,8,3.074
2020,7,3.021
2020,6,2.889
2020,5,2.685
2020,4,2.744
2020,3,3.184
2020,2,3.364
2020,1,3.411
2019,12,3.531
2019,11,3.869
2019,10,4.04
2019,9,3.609
2019,8,3.482
2019,7,3.595
2019,6,3.717
2019,5,3.947
2019,4,3.82
2019,3,3.268
2019,2,3.158
2019,1,3.156
2018,12,3.292
2018,11,3.558
2018,10,3.686
2018,9,3.515
2018,8,3.481
2018,7,3.53
2018,6,3.601
2018,5,3.621
2018,4,3.558
2018,3,3.417
2018,2,3.359
2018,1,3.21
2017,12,3.13
2017,11,3.235
2017,10,3.08
2017,9,3.164
2017,8,3.017
2017,7,2.95
2017,6,3.023
2017,5,3.043
2017,4,3.009
2017,3,3.001
2017,2,2.888
2017,1,2.79
2016,12,2.681
2016,11,2.732
2016,10,2.807
2016,9,2.747
2016,8,2.692
2016,7,2.857
2016,6,2.875
2016,5,2.8
2016,4,2.768
2016,3,2.625
2016,2,2.423
2016,1,2.768
2015,12,2.724
2015,11,2.766
2015,10,2.893
2015,9,3.122
2015,8,3.54
2015,7,3.755
2015,6,3.545
2015,5,3.752
2015,4,3.21
2015,3,3.338
2015,2,2.706
2015,1,2.547
2014,12,2.867
2014,11,3.185
2014,10,3.536
2014,9,3.773
2014,8,3.912
2014,7,4.061
2014,6,4.114
2014,5,4.171
2014,4,4.161
2014,3,3.935
2014,2,3.677
2014,1,3.618
2013,12,3.594
2013,11,3.594
2013,10,3.781
2013,9,3.942
2013,8,3.871
2013,7,4.008
2013,6,4.003
2013,5,4.005
2013,4,3.983
2013,3,4.144
2013,2,4.078
2013,1,3.632
2012,12,3.58
2012,11,3.846
2012,10,4.412
2012,9,4.165
2012,8,4.063
2012,7,3.774
2012,6,4.085
2012,5,4.307
2012,4,4.245
2012,3,4.367
2012,2,3.98
2012,1,3.699
2011,12,3.6
2011,11,3.8
2011,10,3.844
2011,9,3.925
2011,8,3.777
2011,7,3.798
2011,6,3.918
2011,5,4.181
2011,4,4.16
2011,3,3.956
2011,2,3.53
2011,1,3.342
2010,12,3.25
2010,11,3.157
2010,10,3.098
2010,9,3.017
2010,8,3.14
2010,7,3.124
2010,6,3.087
2010,5,3.09
2010,4,3.091
2010,3,3.057
2010,2,2.945
2010,1,3.017
2009,12,2.915
2009,11,2.958
2009,10,3.014
2009,9,3.123
2009,8,3.01
2009,7,2.873
2009,6,2.923
2009,5,2.485
2009,4,2.331
2009,3,2.19
2009,2,2.22
2009,1,2.005
2008,12,1.823
2008,11,2.456
2008,10,3.389
2008,9,3.793
2008,8,4.079
2008,7,4.462
2008,6,4.484
2008,5,3.968
2008,4,3.799
2008,3,3.562
2008,2,3.184
2008,1,3.248
2007,12,3.307
2007,11,3.348
2007,10,3.065
2007,9,2.874
2007,8,2.899
2007,7,3.126
2007,6,3.281
2007,5,3.439
2007,4,3.292
2007,3,3.06
2007,2,2.668
2007,1,2.571
2006,12,2.542
2006,11,2.462
2006,10,2.548
2006,9,2.892
2006,8,3.166
2006,7,3.214
2006,6,3.214
2006,5,3.291
2006,4,2.88
2006,3,2.579
2006,2,2.495
2006,1,2.379
2005,12,2.274
2005,11,2.527
2005,10,2.883
2005,9,2.99
2005,8,2.677
2005,7,2.515
2005,6,2.364
2005,5,2.475
2005,4,2.551
2005,3,2.301
2005,2,2.118
2005,1,1.968
2004,12,2.097
2004,11,2.304
2004,10,2.33
2004,9,2.069
2004,8,2.085
2004,7,2.186
2004,6,2.275
2004,5,2.252
2004,4,2.139
2004,3,2.096
2004,2,1.868
2004,1,1.675
2003,12,1.633
2003,11,1.692
2003,10,1.791
2003,9,2.022
2003,8,1.867
2003,7,1.744
2003,6,1.764
2003,5,1.842
2003,4,2.045
2003,3,2.103
2003,2,1.805
2003,1,1.613
2002,12,1.536
2002,11,1.578
2002,10,1.531
2002,9,1.579
2002,8,1.588
2002,7,1.601
2002,6,1.586
2002,5,1.568
2002,4,1.61
2002,3,1.461
2002,2,1.274
2002,1,1.185
2001,12,1.158
2001,11,1.357
2001,10,1.546
2001,9,1.663
2001,8,1.559
2001,7,1.77
2001,6,1.927
2001,5,1.948
2001,4,1.793
2001,3,1.693
2001,2,1.637
2001,1,1.601
