Year,Month,Volume_Mmcf
2022,2,5997164.0
2022,1,6653327.0
2021,12,7647859.0
2021,11,7971480.0
2021,10,8103211.0
2021,9,7742741.0
2021,8,7352117.0
2021,7,7188708.0
2021,6,7019066.0
2021,5,6771262.0
2021,4,6354526.0
2021,3,6188955.0
2021,2,6247984.0
2021,1,7029355.0
2020,12,7735441.0
2020,11,8325457.0
2020,10,8321354.0
2020,9,8228769.0
2020,8,7911918.0
2020,7,7683812.0
2020,6,7522519.0
2020,5,7164234.0
2020,4,6716451.0
2020,3,6408672.0
2020,2,6460075.0
2020,1,6996576.0
2019,12,7567872.0
2019,11,7990012.0
2019,10,8140781.0
2019,9,7793013.0
2019,8,7374445.0
2019,7,7088570.0
2019,6,6835476.0
2019,5,6403000.0
2019,4,5926851.0
2019,3,5545463.0
2019,2,5792097.0
2019,1,6360109.0
2018,12,7068849.0
2018,11,7386391.0
2018,10,7592871.0
2018,9,7306139.0
2018,8,6971846.0
2018,7,6735506.0
2018,6,6549065.0
2018,5,6199145.0
2018,4,5777258.0
2018,3,5743374.0
2018,2,6029758.0
2018,1,6497521.0
2017,12,7392391.0
2017,11,8062349.0
2017,10,8170238.0
2017,9,7922712.0
2017,8,7605198.0
2017,7,7409892.0
2017,6,7260702.0
2017,5,7011244.0
2017,4,6670165.0
2017,3,6440293.0
2017,2,6714640.0
2017,1,7000061.0
2016,12,7676680.0
2016,11,8349053.0
2016,10,8384087.0
2016,9,8073906.0
2016,8,7810783.0
2016,7,7686988.0
2016,6,7554670.0
2016,5,7332475.0
2016,4,7009450.0
2016,3,6846761.0
2016,2,6903611.0
2016,1,7307245.0
2015,12,8038172.0
2015,11,8303177.0
2015,10,8316026.0
2015,9,7987290.0
2015,8,7614026.0
2015,7,7304710.0
2015,6,7021808.0
2015,5,6658247.0
2015,4,6162227.0
2015,3,5840840.0
2015,2,6033940.0
2015,1,6775582.0
2014,12,7506012.0
2014,11,7794338.0
2014,10,7954588.0
2014,9,7556106.0
2014,8,7134689.0
2014,7,6761254.0
2014,6,6363623.0
2014,5,5900837.0
2014,4,5423037.0
2014,3,5207298.0
2014,2,5560214.0
2014,1,6288361.0
2013,12,7255027.0
2013,11,7970919.0
2013,10,8181397.0
2013,9,7927601.0
2013,8,7574293.0
2013,7,7302175.0
2013,6,7027246.0
2013,5,6654641.0
2013,4,6236406.0
2013,3,6102195.0
2013,2,6483370.0
2013,1,7076700.0
2012,12,7785322.0
2012,11,8171574.0
2012,10,8294299.0
2012,9,8044851.0
2012,8,7753994.0
2012,7,7588106.0
2012,6,7453546.0
2012,5,7219444.0
2012,4,6936421.0
2012,3,6794584.0
2012,2,6758315.0
2012,1,7219136.0
2011,12,7763772.0
2011,11,8142609.0
2011,10,8105566.0
2011,9,7716989.0
2011,8,7319424.0
2011,7,7075486.0
2011,6,6831426.0
2011,5,6491219.0
2011,4,6092050.0
2011,3,5879115.0
2011,2,6024215.0
2011,1,6608635.0
2010,12,7412447.0
2010,11,8078136.0
2010,10,8155699.0
2010,9,7801450.0
2010,8,7442861.0
2010,7,7253018.0
2010,6,7026700.0
2010,5,6698983.0
2010,4,6289473.0
2010,3,5929914.0
2010,2,5960953.0
2010,1,6579900.0
2009,12,7406742.0
2009,11,8124989.0
2009,10,8091168.0
2009,9,7921596.0
2009,8,7626392.0
2009,7,7353504.0
2009,6,7028031.0
2009,5,6632164.0
2009,4,6165074.0
2009,3,5907540.0
2009,2,6000888.0
2009,1,6370028.0
2008,12,7072657.0
2008,11,7577456.0
2008,10,7634355.0
2008,9,7390883.0
2008,8,7093832.0
2008,7,6745390.0
2008,6,6407107.0
2008,5,6064975.0
2008,4,5658650.0
2008,3,5486589.0
2008,2,5686255.0
2008,1,6288037.0
2007,12,7113475.0
2007,11,7680213.0
2007,10,7803634.0
2007,9,7548786.0
2007,8,7250170.0
2007,7,7123259.0
2007,6,6813786.0
2007,5,6431710.0
2007,4,5968611.0
2007,3,5849891.0
2007,2,5867298.0
2007,1,6599227.0
2006,12,7280906.0
2006,11,7622511.0
2006,10,7669209.0
2006,9,7538548.0
2006,8,7181966.0
2006,7,6993053.0
2006,6,6831985.0
2006,5,6511653.0
2006,4,6143320.0
2006,3,5888675.0
2006,2,6088735.0
2006,1,6573119.0
2005,12,6835374.0
2005,11,7398295.0
2005,10,7400321.0
2005,9,7136424.0
2005,8,6865103.0
2005,7,6653209.0
2005,6,6398738.0
2005,5,6075521.0
2005,4,5699060.0
2005,3,5484332.0
2005,2,5768939.0
2005,1,6199291.0
2004,12,6897200.0
2004,11,7479367.0
2004,10,7548214.0
2004,9,7310455.0
2004,8,7004573.0
2004,7,6681153.0
2004,6,6307379.0
2004,5,5910982.0
2004,4,5535291.0
2004,3,5341885.0
2004,2,5452307.0
2004,1,6051839.0
2003,12,6865772.0
2003,11,7341444.0
2003,10,7456712.0
2003,9,7173311.0
2003,8,6762507.0
2003,7,6450716.0
2003,6,6090298.0
2003,5,5621675.0
2003,4,5210476.0
2003,3,5055702.0
2003,2,5187077.0
2003,1,5865966.0
2002,12,6715467.0
2002,11,7272705.0
2002,10,7457920.0
2002,9,7384108.0
2002,8,7130055.0
2002,7,6896201.0
2002,6,6663387.0
2002,5,6329453.0
2002,4,6013613.0
2002,3,5872829.0
2002,2,6193791.0
2002,1,6657016.0
2001,12,7204251.0
2001,11,7554750.0
2001,10,7453778.0
2001,9,7261934.0
2001,8,6888848.0
2001,7,6576075.0
2001,6,6192512.0
2001,5,5749464.0
2001,4,5252851.0
2001,3,5041971.0
2001,2,5240820.0
2001,1,5609446.0
